,x,rho,v,P,e
0,0.003906,1.0,0.0,1.0,2.5
1,0.011719,1.0,0.0,1.0,2.5
2,0.019531,1.0,0.0,1.0,2.5
3,0.027344,1.0,0.0,1.0,2.5
4,0.035156,1.0,0.0,1.0,2.5
5,0.042969,1.0,0.0,1.0,2.5
6,0.050781,1.0,0.0,1.0,2.5
7,0.058594,1.0,0.0,1.0,2.5
8,0.066406,1.0,0.0,1.0,2.5
9,0.074219,1.0,0.0,1.0,2.5
10,0.082031,1.0,0.0,1.0,2.5
11,0.089844,1.0,0.0,1.0,2.5
12,0.097656,1.0,0.0,1.0,2.5
13,0.105469,1.0,0.0,1.0,2.5
14,0.113281,1.0,0.0,1.0,2.5
15,0.121094,1.0,0.0,1.0,2.5
16,0.128906,1.0,0.0,1.0,2.5
17,0.136719,1.0,0.0,1.0,2.5
18,0.144531,1.0,0.0,1.0,2.5
19,0.152344,1.0,0.0,1.0,2.5
20,0.160156,1.0,0.0,1.0,2.5
21,0.167969,1.0,0.0,1.0,2.5
22,0.175781,1.0,0.0,1.0,2.5
23,0.183594,1.0,0.0,1.0,2.5
24,0.191406,1.0,0.0,1.0,2.5
25,0.199219,1.0,0.0,1.0,2.5
26,0.207031,1.0,0.0,1.0,2.5
27,0.214844,1.0,0.0,1.0,2.5
28,0.222656,1.0,0.0,1.0,2.5
29,0.230469,1.0,0.0,1.0,2.5
30,0.238281,1.0,0.0,1.0,2.5
31,0.246094,1.0,0.0,1.0,2.5
32,0.253906,1.0,0.0,1.0,2.5
33,0.261719,1.0,0.0,1.0,2.5
34,0.269531,0.978445,0.025727,0.969954,2.478304
35,0.277344,0.951706,0.058279,0.933048,2.450988
36,0.285156,0.925555,0.090831,0.897353,2.423823
37,0.292969,0.899982,0.123383,0.862834,2.39681
38,0.300781,0.874977,0.155935,0.82946,2.369948
39,0.308594,0.850532,0.188487,0.797199,2.343237
40,0.316406,0.826635,0.221039,0.766019,2.316678
41,0.324219,0.803279,0.253591,0.73589,2.29027
42,0.332031,0.780454,0.286144,0.706783,2.264013
43,0.339844,0.758151,0.318696,0.678668,2.237908
44,0.347656,0.73636,0.351248,0.651518,2.211954
45,0.355469,0.715073,0.3838,0.625304,2.186152
46,0.363281,0.694282,0.416352,0.599999,2.160501
47,0.371094,0.673977,0.448904,0.575577,2.135001
48,0.378906,0.65415,0.481456,0.552012,2.109653
49,0.386719,0.634792,0.514008,0.529278,2.084456
50,0.394531,0.615896,0.54656,0.507353,2.05941
51,0.402344,0.597452,0.579112,0.48621,2.034516
52,0.410156,0.579452,0.611664,0.465827,2.009773
53,0.417969,0.561889,0.644216,0.446181,1.985182
54,0.425781,0.544755,0.676769,0.427249,1.960742
55,0.433594,0.528041,0.709321,0.40901,1.936453
56,0.441406,0.511739,0.741873,0.391443,1.912316
57,0.449219,0.495843,0.774425,0.374526,1.88833
58,0.457031,0.480345,0.806977,0.35824,1.864495
59,0.464844,0.465236,0.839529,0.342565,1.840812
60,0.472656,0.45051,0.872081,0.327481,1.81728
61,0.480469,0.43616,0.904633,0.312971,1.7939
62,0.488281,0.426319,0.927453,0.30313,1.7776
63,0.496094,0.426319,0.927453,0.30313,1.7776
64,0.503906,0.426319,0.927453,0.30313,1.7776
65,0.511719,0.426319,0.927453,0.30313,1.7776
66,0.519531,0.426319,0.927453,0.30313,1.7776
67,0.527344,0.426319,0.927453,0.30313,1.7776
68,0.535156,0.426319,0.927453,0.30313,1.7776
69,0.542969,0.426319,0.927453,0.30313,1.7776
70,0.550781,0.426319,0.927453,0.30313,1.7776
71,0.558594,0.426319,0.927453,0.30313,1.7776
72,0.566406,0.426319,0.927453,0.30313,1.7776
